document,sentiment,avg_confidence
"What_is_DeepSeek,_the_Chinese_AI_startup_that_shoo.txt",NEGATIVE,0.956
Chinese_AI_disrupter_DeepSeek_claims_top_spot_in_U.txt,NEGATIVE,0.968
Which_countries_have_banned_DeepSeek_and_why?.txt,NEGATIVE,0.992
Global_AI_rivalry_is_a_dangerous_game.txt,NEGATIVE,0.98
DeepSeek_just_blew_up_the_AI_industry’s_narrative_.txt,NEGATIVE,0.95
OpenAI_Says_DeepSeek_May_Have_Improperly_Harvested.txt,NEGATIVE,0.959
They_Invested_Billions._Then_the_A.I._Script_Got_F.txt,NEGATIVE,0.98
"AI_giants_Baidu,_OpenAI_offer_their_chatbots_for_f.txt",NEGATIVE,0.973
DeepSeek_banned_from_Australian_government_devices.txt,NEGATIVE,0.899
DeepSeek_AI_shakes_American_swagger_and_upends_ass.txt,NEGATIVE,0.913
What_Is_AI_Distillation?.txt,NEGATIVE,0.964
What_questions_will_China's_DeepSeek_not_answer?_–.txt,NEGATIVE,0.918
"India_AI:_As_DeepSeek_and_ChatGPT_surge,_is_Delhi_.txt",NEGATIVE,0.972
China’s_AI_disrupter_DeepSeek_bets_on_low-key_team.txt,NEGATIVE,0.914
Australia_bans_DeepSeek_on_government_devices_over.txt,NEGATIVE,0.987
The_story_behind_DeepSeek’s_breakthrough.txt,NEGATIVE,0.978
"Microsoft,_OpenAI_investigate_China’s_DeepSeek_ove.txt",NEGATIVE,0.993
South_Korea_bans_new_downloads_of_China's_DeepSeek.txt,NEGATIVE,0.956
US_lawmakers_propose_bill_to_ban_DeepSeek_from_gov.txt,NEGATIVE,0.823
What_will_Washington_do_about_Chinese_startup_Deep.txt,NEGATIVE,0.992
DeepSeek:_Is_China's_AI_tool_as_good_as_it_seems?.txt,NEGATIVE,0.993
A_shocking_Chinese_AI_advancement_called_DeepSeek_.txt,NEGATIVE,0.83
Chinese_AI_start-up_DeepSeek_breaks_for_Lunar_New_.txt,NEGATIVE,0.896
China’s_DeepSeek_faces_questions_over_claims_after.txt,NEGATIVE,0.995
Is_DeepSeek_China’s_Sputnik_Moment?.txt,NEGATIVE,0.91
"DeepSeek:_cheap,_powerful_Chinese_AI_for_all._What.txt",NEGATIVE,0.918
The_Chinese_AI_companies_that_could_match_DeepSeek.txt,NEGATIVE,0.934
Meta_Engineers_See_Vindication_in_DeepSeek’s_Appar.txt,NEGATIVE,0.822
Was_this_the_week_DeepSeek_started_the_slow_unwind.txt,NEGATIVE,0.951
"As_DeepSeek_upends_the_AI_industry,_one_group_is_u.txt",NEGATIVE,0.911
Meet_DeepSeek:_the_Chinese_start-up_that_is_changi.txt,NEGATIVE,0.956
First_Thing:_Donald_Trump_calls_China’s_DeepSeek_A.txt,NEGATIVE,0.949
DeepSeek_'shared_user_data'_with_TikTok_owner_Byte.txt,NEGATIVE,0.985
Tech_war_in_2024:_China_catches_up_fast_in_AI_race.txt,NEGATIVE,0.992
OpenAI_‘reviewing’_allegations_that_its_AI_models_.txt,NEGATIVE,0.988
DeepSeek_is_decoding_Chinese_destiny.txt,NEGATIVE,0.932
DeepSeek_vs_ChatGPT_-_how_do_they_compare?.txt,POSITIVE,0.953
"How_ChatGPT,_Gemini_and_DeepSeek_deal_with_Tiananm.txt",NEGATIVE,0.981
Why_DeepSeek_could_mark_a_turning_point_for_Silico.txt,NEGATIVE,0.977
Why_DeepSeek_Could_Change_What_Silicon_Valley_Beli.txt,NEGATIVE,0.985
DeepSeek’s_Chatbot_Has_an_Important_Message.txt,NEGATIVE,0.965
"South_Korea_Bans_Downloads_of_DeepSeek,_the_Chines.txt",NEGATIVE,0.994
What_is_DeepSeek_and_why_did_US_tech_stocks_fall?.txt,NEGATIVE,0.982
"Oh,_I’m_sorry,_tech_bros_–_did_DeepSeek_copy_your_.txt",NEGATIVE,0.978
China_celebrates_DeepSeek’s_breakout_AI_success_as.txt,NEGATIVE,0.913
"DeepSeek_breakthrough,_Nvidia_stock_rout_raise_con.txt",NEGATIVE,0.985
‘Sputnik_moment’:_$1tn_wiped_off_US_stocks_after_C.txt,NEGATIVE,0.976
DeepSeek:_What_lies_under_the_bonnet_of_the_new_AI.txt,NEGATIVE,0.995
Who_is_behind_DeepSeek_and_how_did_it_achieve_its_.txt,NEGATIVE,0.978
DeepSeek’s_tech_breakthrough_hailed_in_China_as_an.txt,POSITIVE,0.981
'DeepSeek_brought_me_to_tears':_How_young_Chinese_.txt,NEGATIVE,0.929
Nvidia_beats_Wall_Street_expectations_in_first_ear.txt,NEGATIVE,0.936
Chinese_start-up_DeepSeek_launches_AI_model_that_o.txt,NEGATIVE,0.944
US_House_panel_probes_whether_DeepSeek_used_restricted_Nvidia_chips.txt,NEGATIVE,0.923
DeepSeek:_How_China's_'AI_heroes'_overcame_US_curb.txt,NEGATIVE,0.945
"DeepSeek,_ChatGPT,_Grok_…_which_is_the_best_AI_ass.txt",NEGATIVE,0.966
DeepSeek_focuses_on_research_over_revenue_in_contrast_to_Silicon_Valley.txt,NEGATIVE,0.977
First_Impressions_of_DeepSeek’s_A.I._Chatbot.txt,NEGATIVE,0.997
Analysis:_DeepSeek’s_AI_is_giving_the_world_a_wind.txt,NEGATIVE,0.961
How_Did_DeepSeek_Build_Its_A.I._With_Less_Money?.txt,POSITIVE,0.988
DeepSeek_hasn’t_just_disrupted_OpenAI._Chinese_tec.txt,NEGATIVE,0.908
World_leaders_set_to_vie_for_AI_domination_at_Pari.txt,NEGATIVE,0.932
White_House_evaluates_effect_of_China_AI_app_DeepS.txt,NEGATIVE,0.995
OpenAI_says_Chinese_rivals_using_its_work_for_thei.txt,NEGATIVE,0.987
DeepSeek_has_ripped_away_AI’s_veil_of_mystique._Th.txt,NEGATIVE,0.983
"DeepSeek_Doesn’t_Scare_OpenAI,_Thanks_to_the_‘Jevo.txt",NEGATIVE,0.988
Here’s_what_the_sellside_is_saying_about_DeepSeek.txt,NEGATIVE,0.942
The_DeepSeek_Wake-Up_Call.txt,NEGATIVE,0.94
Trump’s_commerce_secretary_pick_vows_to_keep_China.txt,NEGATIVE,0.992
How_do_you_solve_a_problem_like_DeepSeek?.txt,NEGATIVE,0.987
"Inside_China,_DeepSeek_Provides_a_National_Mic_Dro.txt",POSITIVE,0.932
"DeepSeek_advances_could_heighten_safety_risk,_says.txt",NEGATIVE,0.961
UK_will_not_be_able_to_resist_China's_tech_dominan.txt,NEGATIVE,0.816
"What’s_DeepSeek,_China’s_AI_startup_sending_shockw.txt",NEGATIVE,0.942
DeepSeek_blocked_from_some_app_stores_in_Italy_ami.txt,NEGATIVE,0.99
Nvidia_says_AI_chip_sales_strong_despite_DeepSeek_.txt,NEGATIVE,0.883
DeepSeek_spreads_across_China_with_Beijing’s_backi.txt,NEGATIVE,0.936
The_DeepSeek_panic_reveals_an_AI_world_ready_to_bl.txt,NEGATIVE,0.966
Tech_billionaires_lost_almost_$100bn_in_stock_mark.txt,NEGATIVE,0.997
China’s_DeepSeek_Surprise.txt,NEGATIVE,0.902
DeepSeek_chaos_suggests_‘America_First’_may_not_al.txt,NEGATIVE,0.989
DeepSeek:_Cheap_AI_model_shakes_up_tech_industry_–.txt,NEGATIVE,0.991
