document,rank,term,tfidf
Global_AI_rivalry_is_a_dangerous_game,1,agi,0.4093779745090211
Global_AI_rivalry_is_a_dangerous_game,2,level,0.17415893566650475
Global_AI_rivalry_is_a_dangerous_game,3,human,0.16364773120665163
Global_AI_rivalry_is_a_dangerous_game,4,altman,0.1309181849653213
Global_AI_rivalry_is_a_dangerous_game,5,policymakers,0.13061920174987857
Global_AI_rivalry_is_a_dangerous_game,6,strategic,0.13061920174987857
Global_AI_rivalry_is_a_dangerous_game,7,risk,0.13061920174987857
Global_AI_rivalry_is_a_dangerous_game,8,plan,0.13061920174987857
Global_AI_rivalry_is_a_dangerous_game,9,term,0.11164853850246029
Global_AI_rivalry_is_a_dangerous_game,10,xi,0.11164853850246029
What_questions_will_China's_DeepSeek_not_answer?_–,1,english,0.37396478413258577
What_questions_will_China's_DeepSeek_not_answer?_–,2,version,0.3279681804683655
What_questions_will_China's_DeepSeek_not_answer?_–,3,taiwan,0.25200253613932305
What_questions_will_China's_DeepSeek_not_answer?_–,4,political,0.19534257318850848
What_questions_will_China's_DeepSeek_not_answer?_–,5,word,0.18698239206629289
What_questions_will_China's_DeepSeek_not_answer?_–,6,response,0.14055779162929952
What_questions_will_China's_DeepSeek_not_answer?_–,7,tibet,0.12465492804419526
What_questions_will_China's_DeepSeek_not_answer?_–,8,covid,0.12465492804419526
What_questions_will_China's_DeepSeek_not_answer?_–,9,asked,0.1116554741819655
What_questions_will_China's_DeepSeek_not_answer?_–,10,detailed,0.10387910670349604
DeepSeek:_Is_China's_AI_tool_as_good_as_it_seems?,1,chatgpt,0.22580433231522465
DeepSeek:_Is_China's_AI_tool_as_good_as_it_seems?,2,app,0.22580433231522465
DeepSeek:_Is_China's_AI_tool_as_good_as_it_seems?,3,website,0.18615965291489556
DeepSeek:_Is_China's_AI_tool_as_good_as_it_seems?,4,saying,0.18615965291489556
DeepSeek:_Is_China's_AI_tool_as_good_as_it_seems?,5,does,0.15912249422464936
DeepSeek:_Is_China's_AI_tool_as_good_as_it_seems?,6,good,0.15912249422464936
DeepSeek:_Is_China's_AI_tool_as_good_as_it_seems?,7,rival,0.15912249422464936
DeepSeek:_Is_China's_AI_tool_as_good_as_it_seems?,8,questions,0.15393467322572846
DeepSeek:_Is_China's_AI_tool_as_good_as_it_seems?,9,like,0.13993932484785856
DeepSeek:_Is_China's_AI_tool_as_good_as_it_seems?,10,did,0.13993932484785856
First_Thing:_Donald_Trump_calls_China’s_DeepSeek_A,1,chatgpt,0.2298720419466722
First_Thing:_Donald_Trump_calls_China’s_DeepSeek_A,2,wake,0.18994698062455803
First_Thing:_Donald_Trump_calls_China’s_DeepSeek_A,3,stock,0.18994698062455803
First_Thing:_Donald_Trump_calls_China’s_DeepSeek_A,4,industry,0.169750089542368
First_Thing:_Donald_Trump_calls_China’s_DeepSeek_A,5,market,0.15324802796444814
First_Thing:_Donald_Trump_calls_China’s_DeepSeek_A,6,trump,0.15324802796444814
First_Thing:_Donald_Trump_calls_China’s_DeepSeek_A,7,collapse,0.12634212728889418
First_Thing:_Donald_Trump_calls_China’s_DeepSeek_A,8,differences,0.12634212728889418
First_Thing:_Donald_Trump_calls_China’s_DeepSeek_A,9,impressive,0.12634212728889418
First_Thing:_Donald_Trump_calls_China’s_DeepSeek_A,10,happened,0.12634212728889418
"South_Korea_Bans_Downloads_of_DeepSeek,_the_Chines",1,app,0.3102324810926369
"South_Korea_Bans_Downloads_of_DeepSeek,_the_Chines",2,south,0.28839387294864044
"South_Korea_Bans_Downloads_of_DeepSeek,_the_Chines",3,built,0.1922625819657603
"South_Korea_Bans_Downloads_of_DeepSeek,_the_Chines",4,korea,0.1922625819657603
"South_Korea_Bans_Downloads_of_DeepSeek,_the_Chines",5,companies,0.1922625819657603
"South_Korea_Bans_Downloads_of_DeepSeek,_the_Chines",6,world,0.17181947508206472
"South_Korea_Bans_Downloads_of_DeepSeek,_the_Chines",7,sent,0.17181947508206472
"South_Korea_Bans_Downloads_of_DeepSeek,_the_Chines",8,month,0.15511624054631845
"South_Korea_Bans_Downloads_of_DeepSeek,_the_Chines",9,chips,0.15511624054631845
"South_Korea_Bans_Downloads_of_DeepSeek,_the_Chines",10,monday,0.15511624054631845
DeepSeek’s_tech_breakthrough_hailed_in_China_as_an,1,founder,0.19425602133789846
DeepSeek’s_tech_breakthrough_hailed_in_China_as_an,2,weibo,0.19425602133789846
DeepSeek’s_tech_breakthrough_hailed_in_China_as_an,3,models,0.1767186814231529
DeepSeek’s_tech_breakthrough_hailed_in_China_as_an,4,executive,0.16604297520673883
DeepSeek’s_tech_breakthrough_hailed_in_China_as_an,5,start,0.16604297520673883
DeepSeek’s_tech_breakthrough_hailed_in_China_as_an,6,science,0.16604297520673883
DeepSeek’s_tech_breakthrough_hailed_in_China_as_an,7,chief,0.16604297520673883
DeepSeek’s_tech_breakthrough_hailed_in_China_as_an,8,advertisement,0.1460255004132616
DeepSeek’s_tech_breakthrough_hailed_in_China_as_an,9,model,0.11781245428210194
DeepSeek’s_tech_breakthrough_hailed_in_China_as_an,10,cost,0.1070863519513537
DeepSeek_has_ripped_away_AI’s_veil_of_mystique._Th,1,technology,0.28626523352311034
DeepSeek_has_ripped_away_AI’s_veil_of_mystique._Th,2,hype,0.19369307534637317
DeepSeek_has_ripped_away_AI’s_veil_of_mystique._Th,3,sputnik,0.15495446027709853
