document,Technology & AI Trends,Companies & Economy,Politics & Government
"What_is_DeepSeek,_the_Chinese_AI_startup_that_shoo",0.2434396,0.11445415,0.64210624
Chinese_AI_disrupter_DeepSeek_claims_top_spot_in_U,0.31554374,0.1714502,0.51300603
Which_countries_have_banned_DeepSeek_and_why?,0.62365335,0.13101092,0.24533574
Global_AI_rivalry_is_a_dangerous_game,0.26788095,0.37266442,0.35945466
DeepSeek_just_blew_up_the_AI_industry’s_narrative_,0.16365136,0.19321302,0.6431356
OpenAI_Says_DeepSeek_May_Have_Improperly_Harvested,0.48608693,0.12906604,0.38484707
They_Invested_Billions._Then_the_A.I._Script_Got_F,0.19629106,0.1589704,0.64473855
"AI_giants_Baidu,_OpenAI_offer_their_chatbots_for_f",0.32722414,0.20960166,0.46317425
DeepSeek_banned_from_Australian_government_devices,0.67998135,0.21359447,0.10642423
DeepSeek_AI_shakes_American_swagger_and_upends_ass,0.20505695,0.27687007,0.51807296
What_Is_AI_Distillation?,0.22701253,0.30590993,0.46707752
What_questions_will_China's_DeepSeek_not_answer?_–,0.20803456,0.70215434,0.08981111
"India_AI:_As_DeepSeek_and_ChatGPT_surge,_is_Delhi_",0.17658572,0.37754482,0.44586948
China’s_AI_disrupter_DeepSeek_bets_on_low-key_team,0.18413873,0.22523727,0.590624
Australia_bans_DeepSeek_on_government_devices_over,0.5852785,0.17415394,0.24056762
The_story_behind_DeepSeek’s_breakthrough,0.19796562,0.27158836,0.530446
"Microsoft,_OpenAI_investigate_China’s_DeepSeek_ove",0.42908078,0.18370163,0.38721758
South_Korea_bans_new_downloads_of_China's_DeepSeek,0.61282825,0.13205722,0.2551145
US_lawmakers_propose_bill_to_ban_DeepSeek_from_gov,0.5780293,0.10767918,0.31429157
What_will_Washington_do_about_Chinese_startup_Deep,0.5034535,0.1769834,0.31956315
DeepSeek:_Is_China's_AI_tool_as_good_as_it_seems?,0.36639965,0.37848583,0.2551145
A_shocking_Chinese_AI_advancement_called_DeepSeek_,0.20922728,0.12557319,0.6651995
Chinese_AI_start-up_DeepSeek_breaks_for_Lunar_New_,0.30403745,0.18666945,0.5092931
China’s_DeepSeek_faces_questions_over_claims_after,0.27921838,0.20869145,0.5120902
Is_DeepSeek_China’s_Sputnik_Moment?,0.24556355,0.27429217,0.4801443
"DeepSeek:_cheap,_powerful_Chinese_AI_for_all._What",0.19514403,0.26455274,0.54030323
The_Chinese_AI_companies_that_could_match_DeepSeek,0.28718546,0.27042964,0.44238493
Meta_Engineers_See_Vindication_in_DeepSeek’s_Appar,0.21341862,0.1728415,0.6137399
Was_this_the_week_DeepSeek_started_the_slow_unwind,0.34849703,0.22191107,0.42959192
"As_DeepSeek_upends_the_AI_industry,_one_group_is_u",0.46713504,0.17949867,0.3533663
Meet_DeepSeek:_the_Chinese_start-up_that_is_changi,0.16867875,0.12381112,0.7075101
First_Thing:_Donald_Trump_calls_China’s_DeepSeek_A,0.37460348,0.18078388,0.44461265
DeepSeek_'shared_user_data'_with_TikTok_owner_Byte,0.56828773,0.17060293,0.26110932
Tech_war_in_2024:_China_catches_up_fast_in_AI_race,0.38165095,0.20692872,0.4114203
OpenAI_‘reviewing’_allegations_that_its_AI_models_,0.59853804,0.079679556,0.32178247
DeepSeek_is_decoding_Chinese_destiny,0.18008369,0.6016787,0.21823765
DeepSeek_vs_ChatGPT_-_how_do_they_compare?,0.31737074,0.36472455,0.3179047
"How_ChatGPT,_Gemini_and_DeepSeek_deal_with_Tiananm",0.34260616,0.33684096,0.32055295
Why_DeepSeek_could_mark_a_turning_point_for_Silico,0.18470033,0.18259549,0.6327042
Why_DeepSeek_Could_Change_What_Silicon_Valley_Beli,0.13883974,0.15836647,0.7027938
DeepSeek’s_Chatbot_Has_an_Important_Message,0.23291534,0.16440132,0.60268337
"South_Korea_Bans_Downloads_of_DeepSeek,_the_Chines",0.43878,0.08239049,0.4788295
What_is_DeepSeek_and_why_did_US_tech_stocks_fall?,0.2423685,0.17121947,0.586412
"Oh,_I’m_sorry,_tech_bros_–_did_DeepSeek_copy_your_",0.27531368,0.33655608,0.38813025
