document,rank,term,tfidf
Global_AI_rivalry_is_a_dangerous_game,1,agi,0.3977853696056427
Global_AI_rivalry_is_a_dangerous_game,2,level,0.17425814475201376
Global_AI_rivalry_is_a_dangerous_game,3,human,0.1545517033039116
Global_AI_rivalry_is_a_dangerous_game,4,risk,0.13069360856401033
Global_AI_rivalry_is_a_dangerous_game,5,plan,0.13069360856401033
Global_AI_rivalry_is_a_dangerous_game,6,strategic,0.13069360856401033
Global_AI_rivalry_is_a_dangerous_game,7,policymakers,0.13069360856401033
Global_AI_rivalry_is_a_dangerous_game,8,altman,0.12364136264312929
Global_AI_rivalry_is_a_dangerous_game,9,technological,0.1084869189833571
Global_AI_rivalry_is_a_dangerous_game,10,xi,0.1084869189833571
What_questions_will_China's_DeepSeek_not_answer?_–,1,english,0.3679532999201259
What_questions_will_China's_DeepSeek_not_answer?_–,2,version,0.3563383115885109
What_questions_will_China's_DeepSeek_not_answer?_–,3,taiwan,0.2518515248711526
What_questions_will_China's_DeepSeek_not_answer?_–,4,political,0.18665340130826763
What_questions_will_China's_DeepSeek_not_answer?_–,5,word,0.18397664996006294
What_questions_will_China's_DeepSeek_not_answer?_–,6,response,0.13053693259475224
What_questions_will_China's_DeepSeek_not_answer?_–,7,tibet,0.12265109997337528
What_questions_will_China's_DeepSeek_not_answer?_–,8,covid,0.12265109997337528
What_questions_will_China's_DeepSeek_not_answer?_–,9,video,0.12265109997337528
What_questions_will_China's_DeepSeek_not_answer?_–,10,asked,0.1160328289731131
DeepSeek:_Is_China's_AI_tool_as_good_as_it_seems?,1,app,0.26302603983840317
DeepSeek:_Is_China's_AI_tool_as_good_as_it_seems?,2,chatgpt,0.22836126568791043
DeepSeek:_Is_China's_AI_tool_as_good_as_it_seems?,3,website,0.18535233171120508
DeepSeek:_Is_China's_AI_tool_as_good_as_it_seems?,4,saying,0.18535233171120508
DeepSeek:_Is_China's_AI_tool_as_good_as_it_seems?,5,good,0.15385835324824867
DeepSeek:_Is_China's_AI_tool_as_good_as_it_seems?,6,similar,0.15385835324824867
DeepSeek:_Is_China's_AI_tool_as_good_as_it_seems?,7,rival,0.15385835324824867
DeepSeek:_Is_China's_AI_tool_as_good_as_it_seems?,8,does,0.15385835324824867
DeepSeek:_Is_China's_AI_tool_as_good_as_it_seems?,9,did,0.15385835324824867
DeepSeek:_Is_China's_AI_tool_as_good_as_it_seems?,10,response,0.13151301991920158
First_Thing:_Donald_Trump_calls_China’s_DeepSeek_A,1,wake,0.23781301754154377
First_Thing:_Donald_Trump_calls_China’s_DeepSeek_A,2,chatgpt,0.21974614986553126
First_Thing:_Donald_Trump_calls_China’s_DeepSeek_A,3,stock,0.1974052277742501
First_Thing:_Donald_Trump_calls_China’s_DeepSeek_A,4,industry,0.1974052277742501
First_Thing:_Donald_Trump_calls_China’s_DeepSeek_A,5,market,0.1687354446757995
